decision_id,recommendation_id,decision,decision_by,decision_at,reason
DEC-0001,REC-0001,Rejected,USER-DEMO-PIMPINAN,2025-12-26 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0002,REC-0002,Rejected,USER-DEMO-PIMPINAN,2025-12-02 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0003,REC-0003,Modified,USER-DEMO-PIMPINAN,2025-12-09 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0004,REC-0004,Approved,USER-DEMO-PIMPINAN,2025-12-01 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0005,REC-0005,Approved,USER-DEMO-PIMPINAN,2025-12-10 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0009,REC-0009,Modified,USER-DEMO-PIMPINAN,2025-10-14 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0010,REC-0010,Modified,USER-DEMO-PIMPINAN,2025-12-11 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0012,REC-0012,Approved,USER-DEMO-PIMPINAN,2025-12-20 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0013,REC-0013,Modified,USER-DEMO-PIMPINAN,2025-10-11 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0014,REC-0014,Rejected,USER-DEMO-PIMPINAN,2025-11-10 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0017,REC-0017,Approved,USER-DEMO-PIMPINAN,2025-10-24 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0018,REC-0018,Approved,USER-DEMO-PIMPINAN,2025-10-23 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0019,REC-0019,Approved,USER-DEMO-PIMPINAN,2025-10-25 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0020,REC-0020,Approved,USER-DEMO-PIMPINAN,2025-10-22 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0021,REC-0021,Modified,USER-DEMO-PIMPINAN,2025-12-07 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0022,REC-0022,Rejected,USER-DEMO-PIMPINAN,2025-10-29 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0025,REC-0025,Rejected,USER-DEMO-PIMPINAN,2025-12-08 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0026,REC-0026,Rejected,USER-DEMO-PIMPINAN,2025-11-20 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0029,REC-0029,Modified,USER-DEMO-PIMPINAN,2025-10-24 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0030,REC-0030,Approved,USER-DEMO-PIMPINAN,2025-10-15 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0031,REC-0031,Modified,USER-DEMO-PIMPINAN,2025-12-25 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0032,REC-0032,Modified,USER-DEMO-PIMPINAN,2025-11-16 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0033,REC-0033,Modified,USER-DEMO-PIMPINAN,2025-12-07 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0034,REC-0034,Rejected,USER-DEMO-PIMPINAN,2025-12-17 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0036,REC-0036,Rejected,USER-DEMO-PIMPINAN,2025-10-28 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0038,REC-0038,Approved,USER-DEMO-PIMPINAN,2025-11-17 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
