risk_score_id,assessment_date,grid_id,kecamatan,kelurahan,threat_type,time_window,risk_score,risk_class,historical_factor,recent_trend_factor,temporal_factor,spatial_factor,context_factor,model_version,is_synthetic
RS-00001,2025-10-01,JKS-001,Kebayoran Baru,Senayan,CURANMOR,00:00-06:00,27,Low,21,16,15,14,3,dummy-v1,True
RS-00002,2025-10-01,JKS-001,Kebayoran Baru,Senayan,CURAT,06:00-12:00,47,Moderate,16,16,6,18,6,dummy-v1,True
RS-00003,2025-10-01,JKS-001,Kebayoran Baru,Senayan,CURAS,12:00-18:00,40,Low,13,24,16,9,8,dummy-v1,True
RS-00004,2025-10-01,JKS-001,Kebayoran Baru,Senayan,CURANMOR,18:00-23:59,35,Low,12,14,12,14,9,dummy-v1,True
RS-00005,2025-10-08,JKS-001,Kebayoran Baru,Senayan,CURAT,00:00-06:00,58,Moderate,13,25,16,8,4,dummy-v1,True
RS-00006,2025-10-08,JKS-001,Kebayoran Baru,Senayan,CURAS,06:00-12:00,72,High,13,7,5,18,3,dummy-v1,True
RS-00007,2025-10-08,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,33,Low,25,7,20,12,5,dummy-v1,True
RS-00008,2025-10-08,JKS-001,Kebayoran Baru,Senayan,CURAS,18:00-23:59,42,Low,30,16,17,12,10,dummy-v1,True
RS-00009,2025-10-15,JKS-001,Kebayoran Baru,Senayan,CURAS,00:00-06:00,72,High,13,11,19,15,5,dummy-v1,True
RS-00010,2025-10-15,JKS-001,Kebayoran Baru,Senayan,CURAS,06:00-12:00,70,High,22,13,13,6,2,dummy-v1,True
RS-00011,2025-10-15,JKS-001,Kebayoran Baru,Senayan,CURAS,12:00-18:00,46,Moderate,14,6,20,10,8,dummy-v1,True
RS-00012,2025-10-15,JKS-001,Kebayoran Baru,Senayan,CURANMOR,18:00-23:59,58,Moderate,29,15,12,13,4,dummy-v1,True
RS-00013,2025-10-22,JKS-001,Kebayoran Baru,Senayan,CURAT,00:00-06:00,29,Low,13,7,6,7,3,dummy-v1,True
RS-00014,2025-10-22,JKS-001,Kebayoran Baru,Senayan,CURAT,06:00-12:00,33,Low,24,9,17,13,7,dummy-v1,True
RS-00015,2025-10-22,JKS-001,Kebayoran Baru,Senayan,CURAS,12:00-18:00,62,Moderate,22,19,15,18,7,dummy-v1,True
RS-00016,2025-10-22,JKS-001,Kebayoran Baru,Senayan,CURAS,18:00-23:59,48,Moderate,29,14,20,16,6,dummy-v1,True
RS-00017,2025-10-29,JKS-001,Kebayoran Baru,Senayan,CURAS,00:00-06:00,63,Moderate,27,19,15,10,2,dummy-v1,True
RS-00018,2025-10-29,JKS-001,Kebayoran Baru,Senayan,CURAS,06:00-12:00,32,Low,13,22,17,10,5,dummy-v1,True
RS-00019,2025-10-29,JKS-001,Kebayoran Baru,Senayan,CURAS,12:00-18:00,57,Moderate,26,14,5,5,4,dummy-v1,True
RS-00020,2025-10-29,JKS-001,Kebayoran Baru,Senayan,CURANMOR,18:00-23:59,34,Low,30,24,17,13,7,dummy-v1,True
RS-00021,2025-11-05,JKS-001,Kebayoran Baru,Senayan,CURANMOR,00:00-06:00,70,High,26,8,11,5,7,dummy-v1,True
RS-00022,2025-11-05,JKS-001,Kebayoran Baru,Senayan,CURAT,06:00-12:00,40,Low,25,6,12,19,10,dummy-v1,True
RS-00023,2025-11-05,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,69,Moderate,24,16,9,13,6,dummy-v1,True
RS-00024,2025-11-05,JKS-001,Kebayoran Baru,Senayan,CURAT,18:00-23:59,35,Low,23,17,17,8,2,dummy-v1,True
RS-00025,2025-11-12,JKS-001,Kebayoran Baru,Senayan,CURAT,00:00-06:00,51,Moderate,19,23,19,11,0,dummy-v1,True
RS-00026,2025-11-12,JKS-001,Kebayoran Baru,Senayan,CURANMOR,06:00-12:00,48,Moderate,25,22,5,8,1,dummy-v1,True
RS-00027,2025-11-12,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,73,High,11,6,17,19,10,dummy-v1,True
RS-00028,2025-11-12,JKS-001,Kebayoran Baru,Senayan,CURANMOR,18:00-23:59,59,Moderate,21,18,16,18,7,dummy-v1,True
RS-00029,2025-11-19,JKS-001,Kebayoran Baru,Senayan,CURAT,00:00-06:00,68,Moderate,23,16,12,17,8,dummy-v1,True
RS-00030,2025-11-19,JKS-001,Kebayoran Baru,Senayan,CURAT,06:00-12:00,64,Moderate,16,19,13,13,3,dummy-v1,True
RS-00031,2025-11-19,JKS-001,Kebayoran Baru,Senayan,CURAS,12:00-18:00,55,Moderate,15,16,19,7,9,dummy-v1,True
RS-00032,2025-11-19,JKS-001,Kebayoran Baru,Senayan,CURAT,18:00-23:59,58,Moderate,28,24,8,6,10,dummy-v1,True
RS-00033,2025-11-26,JKS-001,Kebayoran Baru,Senayan,CURANMOR,00:00-06:00,68,Moderate,10,18,8,10,7,dummy-v1,True
RS-00034,2025-11-26,JKS-001,Kebayoran Baru,Senayan,CURAS,06:00-12:00,67,Moderate,22,18,11,10,10,dummy-v1,True
RS-00035,2025-11-26,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,44,Low,20,25,13,19,10,dummy-v1,True
RS-00036,2025-11-26,JKS-001,Kebayoran Baru,Senayan,CURAT,18:00-23:59,65,Moderate,11,13,7,19,4,dummy-v1,True
RS-00037,2025-12-03,JKS-001,Kebayoran Baru,Senayan,CURAT,00:00-06:00,45,Moderate,25,6,14,16,0,dummy-v1,True
RS-00038,2025-12-03,JKS-001,Kebayoran Baru,Senayan,CURAT,06:00-12:00,58,Moderate,16,21,19,5,8,dummy-v1,True
RS-00039,2025-12-03,JKS-001,Kebayoran Baru,Senayan,CURAT,12:00-18:00,37,Low,24,24,15,7,10,dummy-v1,True
RS-00040,2025-12-03,JKS-001,Kebayoran Baru,Senayan,CURAT,18:00-23:59,75,High,20,20,11,14,1,dummy-v1,True
RS-00041,2025-12-10,JKS-001,Kebayoran Baru,Senayan,CURANMOR,00:00-06:00,58,Moderate,30,25,19,8,7,dummy-v1,True
RS-00042,2025-12-10,JKS-001,Kebayoran Baru,Senayan,CURAT,06:00-12:00,47,Moderate,27,19,6,10,10,dummy-v1,True
RS-00043,2025-12-10,JKS-001,Kebayoran Baru,Senayan,CURAS,12:00-18:00,73,High,17,14,12,7,6,dummy-v1,True
RS-00044,2025-12-10,JKS-001,Kebayoran Baru,Senayan,CURAS,18:00-23:59,90,Critical,28,13,9,17,4,dummy-v1,True
RS-00045,2025-12-17,JKS-001,Kebayoran Baru,Senayan,CURANMOR,00:00-06:00,65,Moderate,15,25,14,6,10,dummy-v1,True
RS-00046,2025-12-17,JKS-001,Kebayoran Baru,Senayan,CURAS,06:00-12:00,48,Moderate,16,18,12,7,2,dummy-v1,True
RS-00047,2025-12-17,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,74,High,12,7,11,20,9,dummy-v1,True
RS-00048,2025-12-17,JKS-001,Kebayoran Baru,Senayan,CURANMOR,18:00-23:59,92,Critical,12,8,15,12,0,dummy-v1,True
RS-00049,2025-12-24,JKS-001,Kebayoran Baru,Senayan,CURAS,00:00-06:00,74,High,30,10,20,9,2,dummy-v1,True
RS-00050,2025-12-24,JKS-001,Kebayoran Baru,Senayan,CURANMOR,06:00-12:00,52,Moderate,27,15,18,16,8,dummy-v1,True
