audit_id,timestamp,user_id,action,resource_type,resource_id,result,is_synthetic
AUD-00001,2025-10-03T19:06,USER-004,RUN_PREDICTION,recommendation,RES-0062,SUCCESS,True
AUD-00002,2025-12-03T12:11,USER-003,VIEW_MAP,warning,RES-0594,SUCCESS,True
AUD-00003,2025-10-14T04:29,USER-006,ACK_WARNING,prediction,RES-0610,SUCCESS,True
AUD-00004,2025-12-12T14:31,USER-005,ACK_WARNING,dashboard,RES-0517,SUCCESS,True
AUD-00005,2025-11-14T11:43,USER-003,VIEW_MAP,warning,RES-0236,SUCCESS,True
AUD-00006,2025-11-20T00:12,USER-002,LOGIN,warning,RES-0743,SUCCESS,True
AUD-00007,2025-12-08T06:30,USER-004,APPROVE_RECOMMENDATION,map,RES-0614,SUCCESS,True
AUD-00008,2025-10-05T05:03,USER-003,VIEW_DASHBOARD,warning,RES-0175,SUCCESS,True
AUD-00009,2025-10-08T23:48,USER-006,ACK_WARNING,dashboard,RES-0911,SUCCESS,True
AUD-00010,2025-12-28T14:36,USER-005,RUN_PREDICTION,prediction,RES-0511,SUCCESS,True
AUD-00011,2025-11-16T15:34,USER-001,ACK_WARNING,dashboard,RES-0946,SUCCESS,True
AUD-00012,2025-11-26T13:22,USER-006,VIEW_EVALUATION,recommendation,RES-0266,SUCCESS,True
AUD-00013,2025-12-31T04:54,USER-002,VIEW_MAP,map,RES-0989,SUCCESS,True
AUD-00014,2025-11-04T19:10,USER-003,ACK_WARNING,evaluation,RES-0649,SUCCESS,True
AUD-00015,2025-10-08T17:02,USER-006,VIEW_DASHBOARD,evaluation,RES-0236,SUCCESS,True
AUD-00016,2025-11-09T23:55,USER-006,ACK_WARNING,dashboard,RES-0564,SUCCESS,True
AUD-00017,2025-10-11T19:33,USER-001,ACK_WARNING,evaluation,RES-0612,SUCCESS,True
AUD-00018,2025-11-14T08:25,USER-005,VIEW_MAP,recommendation,RES-0889,SUCCESS,True
AUD-00019,2025-12-17T13:09,USER-003,VIEW_DASHBOARD,prediction,RES-0928,SUCCESS,True
AUD-00020,2025-11-07T20:39,USER-004,ACK_WARNING,dashboard,RES-0353,SUCCESS,True
AUD-00021,2025-12-31T13:26,USER-002,ACK_WARNING,warning,RES-0266,SUCCESS,True
AUD-00022,2025-11-09T18:01,USER-001,ACK_WARNING,dashboard,RES-0633,SUCCESS,True
AUD-00023,2025-12-07T21:29,USER-005,APPROVE_RECOMMENDATION,dashboard,RES-0416,SUCCESS,True
AUD-00024,2025-12-11T11:21,USER-005,RUN_PREDICTION,recommendation,RES-0365,SUCCESS,True
AUD-00025,2025-10-27T06:24,USER-001,VIEW_MAP,dashboard,RES-0309,SUCCESS,True
AUD-00026,2025-11-11T02:26,USER-006,VIEW_EVALUATION,prediction,RES-0080,SUCCESS,True
AUD-00027,2025-11-05T07:31,USER-002,VIEW_DASHBOARD,prediction,RES-0933,SUCCESS,True
AUD-00028,2025-10-28T04:54,USER-002,ACK_WARNING,warning,RES-0165,SUCCESS,True
AUD-00029,2025-12-05T01:08,USER-004,ACK_WARNING,evaluation,RES-0500,SUCCESS,True
AUD-00030,2025-10-07T13:49,USER-006,APPROVE_RECOMMENDATION,dashboard,RES-0730,SUCCESS,True
AUD-00031,2025-10-05T10:59,USER-006,LOGIN,evaluation,RES-0332,SUCCESS,True
AUD-00032,2025-12-02T10:55,USER-001,VIEW_DASHBOARD,prediction,RES-0502,SUCCESS,True
