report_id,reported_at,incident_time,category,description,latitude,longitude,location_text,urgency_score,verification_score,status,is_synthetic
RPT-0001,2025-05-04T12:35,2025-05-04T06:35,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.226806,106.79856,Sekitar Senayan (data sintetis),40,94,Diteruskan,True
RPT-0002,2025-10-16T12:03,2025-10-16T06:03,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.312643,106.83573,Sekitar Lenteng Agung (data sintetis),24,91,Diteruskan,True
RPT-0003,2025-02-18T08:31,2025-02-18T03:31,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.264857,106.80144,Sekitar Cipete Utara (data sintetis),35,86,Selesai,True
RPT-0004,2025-08-17T03:54,2025-08-16T23:54,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.218307,106.829587,Sekitar Karet Kuningan (data sintetis),77,90,Diverifikasi,True
RPT-0005,2025-09-16T02:17,2025-09-15T22:17,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.255669,106.823695,Sekitar Tegal Parang (data sintetis),98,63,Ditangani,True
RPT-0006,2025-05-18T14:38,2025-05-18T08:38,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.333891,106.793052,Sekitar Ciganjur (data sintetis),36,49,Diterima,True
RPT-0007,2025-02-22T20:27,2025-02-22T18:27,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.231831,106.779305,Sekitar Grogol Utara (data sintetis),31,53,Diverifikasi,True
RPT-0008,2025-01-05T14:22,2025-01-05T14:22,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.284184,106.835652,Sekitar Jati Padang (data sintetis),63,88,Ditangani,True
RPT-0009,2025-01-11T12:30,2025-01-11T08:30,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.231683,106.780379,Sekitar Grogol Utara (data sintetis),27,39,Selesai,True
RPT-0010,2025-02-24T00:20,2025-02-24T00:20,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.239088,106.834796,Sekitar Menteng Dalam (data sintetis),31,49,Diterima,True
RPT-0011,2025-11-16T22:17,2025-11-16T17:17,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.239641,106.811014,Sekitar Pulo (data sintetis),81,88,Diterima,True
RPT-0012,2025-02-08T08:40,2025-02-08T06:40,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.273728,106.833802,Sekitar Pejaten Barat (data sintetis),95,92,Selesai,True
RPT-0013,2025-11-08T04:02,2025-11-08T01:02,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.2183,106.827822,Sekitar Karet Kuningan (data sintetis),48,47,Diteruskan,True
RPT-0014,2025-01-18T21:34,2025-01-18T15:34,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.215487,106.828887,Sekitar Karet Kuningan (data sintetis),85,60,Selesai,True
RPT-0015,2025-11-07T07:59,2025-11-07T07:59,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.23743,106.793462,Sekitar Gunung (data sintetis),29,88,Diterima,True
RPT-0016,2025-10-27T10:59,2025-10-27T08:59,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.343909,106.825002,Sekitar Srengseng Sawah (data sintetis),67,74,Selesai,True
RPT-0017,2025-02-01T02:40,2025-02-01T01:40,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.256867,106.85545,Sekitar Kalibata (data sintetis),66,64,Diverifikasi,True
RPT-0018,2025-07-11T17:22,2025-07-11T12:22,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.312927,106.836282,Sekitar Lenteng Agung (data sintetis),27,71,Selesai,True
RPT-0019,2025-02-07T20:07,2025-02-07T20:07,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.255017,106.830287,Sekitar Duren Tiga (data sintetis),60,71,Diterima,True
RPT-0020,2025-10-01T18:00,2025-10-01T14:00,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.285506,106.833446,Sekitar Jati Padang (data sintetis),39,62,Ditangani,True
RPT-0021,2025-01-15T15:21,2025-01-15T10:21,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.335728,106.819391,Sekitar Jagakarsa (data sintetis),94,40,Ditangani,True
RPT-0022,2025-10-14T07:22,2025-10-14T06:22,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.310312,106.819717,Sekitar Ragunan (data sintetis),38,85,Selesai,True
RPT-0023,2025-03-06T20:57,2025-03-06T19:57,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.216909,106.82925,Sekitar Karet Kuningan (data sintetis),25,68,Selesai,True
RPT-0024,2025-11-24T07:39,2025-11-24T02:39,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.333979,106.795148,Sekitar Ciganjur (data sintetis),35,76,Diteruskan,True
RPT-0025,2025-12-17T04:52,2025-12-17T00:52,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.280071,106.809423,Sekitar Cipete Selatan (data sintetis),83,92,Diteruskan,True
RPT-0026,2025-07-20T09:52,2025-07-20T09:52,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.242217,106.809851,Sekitar Pulo (data sintetis),85,52,Diverifikasi,True
RPT-0027,2025-09-29T03:53,2025-09-29T00:53,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.308792,106.819226,Sekitar Ragunan (data sintetis),95,94,Diverifikasi,True
RPT-0028,2025-09-22T12:47,2025-09-22T09:47,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.309638,106.820544,Sekitar Ragunan (data sintetis),21,65,Selesai,True
RPT-0029,2025-06-03T10:58,2025-06-03T08:58,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.344081,106.825139,Sekitar Srengseng Sawah (data sintetis),26,52,Selesai,True
RPT-0030,2025-05-30T08:30,2025-05-30T05:30,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.275579,106.766202,Sekitar Pondok Pinang (data sintetis),28,81,Diteruskan,True
RPT-0031,2025-11-18T10:14,2025-11-18T08:14,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.246751,106.792733,Sekitar Kramat Pela (data sintetis),97,71,Diverifikasi,True
