warning_id,prediction_id,created_at,severity,threat_type,grid_id,kecamatan,kelurahan,time_window,risk_score,confidence,status
WRN-0001,PRD-00001,2025-12-26 15:00,Warning,CURAT,JKS-001,Kebayoran Baru,Senayan,18:00-23:59,76,75,Resolved
WRN-0002,PRD-00003,2025-12-02 15:00,Critical,CURANMOR,JKS-008,Kebayoran Lama,Grogol Utara,12:00-18:00,89,95,Acknowledged
WRN-0003,PRD-00004,2025-12-09 15:00,Warning,CURANMOR,JKS-030,Jagakarsa,Jagakarsa,06:00-12:00,73,64,Resolved
WRN-0004,PRD-00006,2025-12-01 15:00,Warning,CURAT,JKS-023,Tebet,Manggarai,00:00-06:00,73,70,Resolved
WRN-0005,PRD-00007,2025-12-10 15:00,Warning,CURAS,JKS-026,Mampang Prapatan,Tegal Parang,18:00-23:59,79,78,Active
WRN-0006,PRD-00011,2025-10-20 15:00,Warning,CURANMOR,JKS-008,Kebayoran Lama,Grogol Utara,18:00-23:59,75,81,Active
WRN-0007,PRD-00013,2025-10-13 15:00,Warning,CURANMOR,JKS-019,Pancoran,Kalibata,00:00-06:00,72,81,Active
WRN-0008,PRD-00015,2025-12-31 15:00,Warning,CURANMOR,JKS-013,Pasar Minggu,Pejaten Barat,18:00-23:59,81,80,Resolved
WRN-0009,PRD-00020,2025-10-14 15:00,Warning,CURAS,JKS-003,Kebayoran Baru,Kramat Pela,18:00-23:59,81,81,Resolved
WRN-0010,PRD-00021,2025-12-11 15:00,Warning,CURANMOR,JKS-003,Kebayoran Baru,Kramat Pela,12:00-18:00,84,80,Active
WRN-0011,PRD-00023,2025-11-21 15:00,Critical,CURANMOR,JKS-022,Tebet,Menteng Dalam,18:00-23:59,88,77,Active
WRN-0012,PRD-00027,2025-12-20 15:00,Warning,CURANMOR,JKS-018,Pancoran,Duren Tiga,18:00-23:59,72,68,Acknowledged
WRN-0013,PRD-00028,2025-10-11 15:00,Warning,CURANMOR,JKS-009,Cilandak,Cipete Selatan,18:00-23:59,72,80,Acknowledged
WRN-0014,PRD-00029,2025-11-10 15:00,Warning,CURANMOR,JKS-001,Kebayoran Baru,Senayan,12:00-18:00,82,87,Acknowledged
WRN-0015,PRD-00031,2025-12-26 15:00,Warning,CURANMOR,JKS-024,Mampang Prapatan,Mampang Prapatan,12:00-18:00,83,71,Active
WRN-0016,PRD-00033,2025-11-03 15:00,Critical,CURANMOR,JKS-023,Tebet,Manggarai,18:00-23:59,95,86,Resolved
WRN-0017,PRD-00035,2025-10-24 15:00,Critical,CURAT,JKS-015,Pasar Minggu,Ragunan,12:00-18:00,95,84,Acknowledged
WRN-0018,PRD-00037,2025-10-23 15:00,Warning,CURANMOR,JKS-021,Tebet,Tebet Timur,12:00-18:00,71,62,Resolved
WRN-0019,PRD-00043,2025-10-25 15:00,Critical,CURANMOR,JKS-018,Pancoran,Duren Tiga,18:00-23:59,88,97,Resolved
WRN-0020,PRD-00046,2025-10-22 15:00,Warning,CURAT,JKS-017,Pancoran,Pancoran,00:00-06:00,82,91,Active
WRN-0021,PRD-00047,2025-12-07 15:00,Critical,CURAS,JKS-010,Cilandak,Gandaria Selatan,12:00-18:00,91,94,Active
