feedback_id,report_id,feedback_type,submitted_at,status
FDB-0001,RPT-0001,Keluhan,2024-02-27T20:23+07:00,Selesai
FDB-0002,RPT-0003,Informasi,2023-12-02T18:47+07:00,Selesai
FDB-0003,RPT-0006,Informasi,2025-08-19T05:25+07:00,Ditinjau
FDB-0004,RPT-0008,Keluhan,2025-04-13T19:07+07:00,Selesai
FDB-0005,RPT-0011,Informasi,2025-12-31T23:59+07:00,Ditinjau
FDB-0006,RPT-0013,Koreksi,2023-06-02T06:44+07:00,Selesai
FDB-0007,RPT-0016,Apresiasi,2023-08-01T19:16+07:00,Selesai
FDB-0008,RPT-0018,Apresiasi,2025-12-31T23:59+07:00,Baru
FDB-0009,RPT-0021,Koreksi,2024-12-13T06:43+07:00,Selesai
FDB-0010,RPT-0023,Apresiasi,2024-09-24T23:10+07:00,Selesai
FDB-0011,RPT-0026,Informasi,2024-04-09T17:51+07:00,Selesai
FDB-0012,RPT-0028,Apresiasi,2025-12-31T23:59+07:00,Ditinjau
FDB-0013,RPT-0031,Apresiasi,2025-05-20T23:09+07:00,Ditinjau
FDB-0014,RPT-0033,Koreksi,2024-02-21T09:14+07:00,Selesai
FDB-0015,RPT-0036,Informasi,2025-12-31T23:59+07:00,Ditinjau
FDB-0016,RPT-0038,Informasi,2025-08-27T07:26+07:00,Ditinjau
FDB-0017,RPT-0041,Informasi,2025-08-19T16:02+07:00,Ditinjau
FDB-0018,RPT-0043,Koreksi,2025-12-31T23:59+07:00,Baru
FDB-0019,RPT-0046,Apresiasi,2025-11-22T05:04+07:00,Baru
FDB-0020,RPT-0048,Koreksi,2024-09-29T04:15+07:00,Ditinjau
FDB-0021,RPT-0051,Keluhan,2024-11-17T21:10+07:00,Selesai
FDB-0022,RPT-0053,Apresiasi,2025-12-31T23:59+07:00,Baru
FDB-0023,RPT-0056,Apresiasi,2025-12-31T23:59+07:00,Baru
FDB-0024,RPT-0058,Informasi,2024-12-12T18:28+07:00,Selesai
FDB-0025,RPT-0061,Keluhan,2025-01-17T08:38+07:00,Selesai
FDB-0026,RPT-0063,Informasi,2024-07-03T08:14+07:00,Selesai
FDB-0027,RPT-0066,Keluhan,2025-05-31T10:51+07:00,Ditinjau
FDB-0028,RPT-0068,Keluhan,2025-02-03T09:00+07:00,Ditinjau
FDB-0029,RPT-0071,Informasi,2025-12-31T23:59+07:00,Baru
FDB-0030,RPT-0073,Koreksi,2024-08-24T00:00+07:00,Selesai
FDB-0031,RPT-0076,Keluhan,2023-08-23T03:50+07:00,Selesai
FDB-0032,RPT-0078,Koreksi,2025-08-05T05:36+07:00,Baru
FDB-0033,RPT-0081,Informasi,2024-07-17T05:59+07:00,Selesai
FDB-0034,RPT-0083,Keluhan,2024-06-20T20:14+07:00,Selesai
FDB-0035,RPT-0086,Keluhan,2025-06-24T14:02+07:00,Ditinjau
FDB-0036,RPT-0088,Koreksi,2025-12-31T23:59+07:00,Ditinjau
FDB-0037,RPT-0091,Keluhan,2025-12-31T23:59+07:00,Ditinjau
FDB-0038,RPT-0093,Keluhan,2025-07-12T21:48+07:00,Ditinjau
FDB-0039,RPT-0096,Keluhan,2024-12-08T10:37+07:00,Selesai
FDB-0040,RPT-0098,Informasi,2025-11-13T13:34+07:00,Ditinjau
FDB-0041,RPT-0101,Informasi,2023-12-09T01:15+07:00,Selesai
FDB-0042,RPT-0103,Informasi,2025-12-31T23:59+07:00,Baru
FDB-0043,RPT-0106,Keluhan,2025-03-28T22:07+07:00,Ditinjau
FDB-0044,RPT-0108,Koreksi,2024-12-15T19:19+07:00,Selesai
FDB-0045,RPT-0111,Informasi,2025-12-30T23:10+07:00,Baru
FDB-0046,RPT-0113,Koreksi,2025-02-21T05:03+07:00,Selesai
FDB-0047,RPT-0116,Informasi,2025-08-20T02:20+07:00,Ditinjau
FDB-0048,RPT-0118,Apresiasi,2025-11-26T18:33+07:00,Ditinjau
FDB-0049,RPT-0121,Informasi,2024-05-17T08:55+07:00,Selesai
FDB-0050,RPT-0123,Informasi,2024-02-10T04:19+07:00,Selesai
FDB-0051,RPT-0126,Informasi,2025-12-23T00:54+07:00,Baru
FDB-0052,RPT-0128,Koreksi,2025-11-09T01:59+07:00,Baru
FDB-0053,RPT-0131,Informasi,2024-04-20T00:22+07:00,Selesai
FDB-0054,RPT-0133,Keluhan,2024-01-14T19:26+07:00,Selesai
FDB-0055,RPT-0136,Informasi,2024-10-03T00:47+07:00,Selesai
FDB-0056,RPT-0138,Keluhan,2024-10-09T17:28+07:00,Selesai
FDB-0057,RPT-0141,Koreksi,2025-12-23T00:47+07:00,Baru
FDB-0058,RPT-0143,Informasi,2024-11-27T00:19+07:00,Selesai
FDB-0059,RPT-0146,Keluhan,2025-11-16T11:05+07:00,Ditinjau
FDB-0060,RPT-0148,Apresiasi,2025-07-31T00:08+07:00,Baru
