incident_id,incident_type,incident_date,incident_time,polsek,kecamatan,kelurahan,grid_id,latitude,longitude,location_type,modus,target_type,status,is_synthetic
INC-00001,CURANMOR,2023-07-09,13:51,Polsek Tebet,Tebet,Tebet Timur,JKS-021,-6.230653,106.855133,Permukiman,kunci_t,motor,Dilaporkan,True
INC-00002,KEJAHATAN_JALANAN,2024-01-23,13:25,Polsek Pancoran,Pancoran,Kalibata,JKS-019,-6.256651,106.855237,Permukiman,pencurian_ringan,pejalan_kaki,Selesai,True
INC-00003,KEJAHATAN_JALANAN,2023-02-04,20:01,Polsek Cilandak,Cilandak,Cipete Selatan,JKS-009,-6.280654,106.810576,Permukiman,jambret,pedagang,Selesai,True
INC-00004,CURAT,2023-06-11,15:14,Polsek Jagakarsa,Jagakarsa,Ciganjur,JKS-031,-6.333139,106.794639,Parkiran,rusak_kunci,kantor,Selesai,True
INC-00005,CURANMOR,2023-08-05,03:14,Polsek Pancoran,Pancoran,Kalibata,JKS-019,-6.259251,106.85436,Parkiran,kelalaian_pengguna,motor,Penyelidikan,True
INC-00006,CURAS,2024-01-27,01:38,Polsek Mampang Prapatan,Mampang Prapatan,Tegal Parang,JKS-026,-6.254205,106.823289,Pusat Aktivitas,lainnya,pengendara,Dilaporkan,True
INC-00007,CURANMOR,2024-05-17,20:39,Polsek Cilandak,Cilandak,Lebak Bulus,JKS-011,-6.292451,106.771979,Parkiran,kelalaian_pengguna,mobil,Selesai,True
INC-00008,CURAT,2025-10-25,06:26,Polsek Mampang Prapatan,Mampang Prapatan,Tegal Parang,JKS-026,-6.258144,106.823986,Jalan,congkel,kantor,Dilaporkan,True
INC-00009,CURAT,2025-01-12,03:29,Polsek Pancoran,Pancoran,Kalibata,JKS-019,-6.256643,106.854766,Permukiman,congkel,rumah,Dilaporkan,True
INC-00010,CURAS,2024-07-31,01:27,Polsek Cilandak,Cilandak,Gandaria Selatan,JKS-010,-6.286636,106.797616,Pusat Aktivitas,perampasan_jalanan,pengendara,Dilaporkan,True
INC-00011,CURANMOR,2023-07-09,15:51,Polsek Kebayoran Lama,Kebayoran Lama,Grogol Utara,JKS-008,-6.231619,106.778777,Jalan,kelalaian_pengguna,motor,Penyidikan,True
INC-00012,CURANMOR,2024-11-14,06:23,Polsek Kebayoran Baru,Kebayoran Baru,Pulo,JKS-005,-6.241132,106.810685,Fasilitas Publik,lainnya,mobil,Penyelidikan,True
INC-00013,CURANMOR,2025-08-09,18:53,Polsek Tebet,Tebet,Tebet Barat,JKS-020,-6.235096,106.84671,Permukiman,duplikasi_kunci,mobil,Penyidikan,True
INC-00014,KEJAHATAN_JALANAN,2024-12-30,20:10,Polsek Kebayoran Lama,Kebayoran Lama,Grogol Utara,JKS-008,-6.231586,106.779198,Pertokoan,jambret,pengendara,Selesai,True
INC-00015,TAWURAN,2025-01-21,15:15,Polsek Kebayoran Baru,Kebayoran Baru,Pulo,JKS-005,-6.23988,106.808396,Pertokoan,konflik_spontan,kelompok_pemuda,Penyidikan,True
INC-00016,CURANMOR,2023-05-27,23:39,Polsek Kebayoran Baru,Kebayoran Baru,Kramat Pela,JKS-003,-6.246255,106.792807,Jalan,lainnya,motor,Dilaporkan,True
INC-00017,CURAT,2023-05-31,06:59,Polsek Tebet,Tebet,Manggarai,JKS-023,-6.211053,106.850143,Fasilitas Publik,rusak_kunci,rumah,Selesai,True
INC-00018,CURANMOR,2025-10-11,20:02,Polsek Cilandak,Cilandak,Cilandak Barat,JKS-012,-6.291343,106.803278,Pusat Aktivitas,lainnya,motor,Selesai,True
INC-00019,CURAS,2023-04-14,01:34,Polsek Kebayoran Baru,Kebayoran Baru,Senayan,JKS-001,-6.227172,106.797679,Permukiman,ancaman,pejalan_kaki,Dilaporkan,True
INC-00020,CURAT,2025-03-11,23:07,Polsek Kebayoran Lama,Kebayoran Lama,Pondok Pinang,JKS-006,-6.275491,106.768129,Permukiman,lainnya,kantor,Penyelidikan,True
INC-00021,CURANMOR,2025-11-11,13:53,Polsek Jagakarsa,Jagakarsa,Srengseng Sawah,JKS-033,-6.345169,106.825047,Parkiran,kunci_t,mobil,Selesai,True
INC-00022,CURANMOR,2024-03-28,18:48,Polsek Pancoran,Pancoran,Pancoran,JKS-017,-6.25214,106.838708,Pusat Aktivitas,lainnya,motor,Selesai,True
INC-00023,CURAT,2024-05-11,00:51,Polsek Pancoran,Pancoran,Kalibata,JKS-019,-6.258016,106.854182,Pusat Aktivitas,lainnya,kantor,Dilaporkan,True
INC-00024,CURAS,2024-07-19,01:31,Polsek Pancoran,Pancoran,Kalibata,JKS-019,-6.258377,106.857668,Parkiran,senjata_tajam,pengendara,Penyelidikan,True
INC-00025,CURANMOR,2023-09-03,21:34,Polsek Cilandak,Cilandak,Gandaria Selatan,JKS-010,-6.285212,106.795277,Jalan,kelalaian_pengguna,motor,Penyidikan,True
INC-00026,CURAS,2023-01-20,21:11,Polsek Tebet,Tebet,Manggarai,JKS-023,-6.210873,106.8524,Pertokoan,perampasan_jalanan,pejalan_kaki,Dilaporkan,True
INC-00027,CURAT,2023-05-30,19:41,Polsek Kebayoran Baru,Kebayoran Baru,Senayan,JKS-001,-6.227566,106.801307,Jalan,congkel,rumah,Penyelidikan,True
INC-00028,CURAT,2023-01-05,19:29,Polsek Setiabudi,Setiabudi,Kuningan Timur,JKS-028,-6.227427,106.833761,Pertokoan,congkel,toko,Penyidikan,True
INC-00029,CURAT,2024-10-18,22:25,Polsek Pasar Minggu,Pasar Minggu,Ragunan,JKS-015,-6.309394,106.821039,Parkiran,rusak_kunci,toko,Dilaporkan,True
INC-00030,CURANMOR,2025-03-12,04:44,Polsek Kebayoran Baru,Kebayoran Baru,Kramat Pela,JKS-003,-6.246547,106.794982,Permukiman,kelalaian_pengguna,motor,Penyelidikan,True
