warning_id,prediction_id,created_at,severity,threat_type,grid_id,kecamatan,kelurahan,time_window,risk_score,confidence,status,window_start,window_end,threshold_version
WRN-0001,PRD-00001,2025-12-26 15:00,Warning,CURAT,JKS-001,Kebayoran Baru,Senayan,18:00-23:59,76,75,Resolved,2025-12-26T18:00+07:00,2025-12-27T00:00+07:00,dummy-v1
WRN-0002,PRD-00003,2025-12-02 15:00,Critical,CURANMOR,JKS-008,Kebayoran Lama,Grogol Utara,12:00-18:00,89,95,Acknowledged,2025-12-03T12:00+07:00,2025-12-03T18:00+07:00,dummy-v1
WRN-0003,PRD-00004,2025-12-09 15:00,Warning,CURANMOR,JKS-030,Jagakarsa,Jagakarsa,06:00-12:00,73,64,Resolved,2025-12-12T06:00+07:00,2025-12-12T12:00+07:00,dummy-v1
WRN-0004,PRD-00006,2025-12-01 15:00,Warning,CURAT,JKS-023,Tebet,Manggarai,00:00-06:00,73,70,Resolved,2025-12-01T00:00+07:00,2025-12-01T06:00+07:00,dummy-v1
WRN-0005,PRD-00007,2025-12-10 15:00,Warning,CURAS,JKS-026,Mampang Prapatan,Tegal Parang,18:00-23:59,79,78,Active,2025-12-10T18:00+07:00,2025-12-11T00:00+07:00,dummy-v1
WRN-0006,PRD-00011,2025-10-20 15:00,Warning,CURANMOR,JKS-008,Kebayoran Lama,Grogol Utara,18:00-23:59,75,81,Active,2025-10-20T18:00+07:00,2025-10-21T00:00+07:00,dummy-v1
WRN-0007,PRD-00013,2025-10-13 15:00,Warning,CURANMOR,JKS-019,Pancoran,Kalibata,00:00-06:00,72,81,Active,2025-10-14T00:00+07:00,2025-10-14T06:00+07:00,dummy-v1
WRN-0008,PRD-00015,2025-12-31 15:00,Warning,CURANMOR,JKS-013,Pasar Minggu,Pejaten Barat,18:00-23:59,81,80,Resolved,2026-01-07T18:00+07:00,2026-01-08T00:00+07:00,dummy-v1
WRN-0009,PRD-00020,2025-10-14 15:00,Warning,CURAS,JKS-003,Kebayoran Baru,Kramat Pela,18:00-23:59,81,81,Resolved,2025-10-21T18:00+07:00,2025-10-22T00:00+07:00,dummy-v1
WRN-0010,PRD-00021,2025-12-11 15:00,Warning,CURANMOR,JKS-003,Kebayoran Baru,Kramat Pela,12:00-18:00,84,80,Active,2025-12-11T12:00+07:00,2025-12-11T18:00+07:00,dummy-v1
WRN-0011,PRD-00023,2025-11-21 15:00,Critical,CURANMOR,JKS-022,Tebet,Menteng Dalam,18:00-23:59,88,77,Active,2025-11-22T18:00+07:00,2025-11-23T00:00+07:00,dummy-v1
WRN-0012,PRD-00027,2025-12-20 15:00,Warning,CURANMOR,JKS-018,Pancoran,Duren Tiga,18:00-23:59,72,68,Acknowledged,2025-12-20T18:00+07:00,2025-12-21T00:00+07:00,dummy-v1
WRN-0013,PRD-00028,2025-10-11 15:00,Warning,CURANMOR,JKS-009,Cilandak,Cipete Selatan,18:00-23:59,72,80,Acknowledged,2025-10-12T18:00+07:00,2025-10-13T00:00+07:00,dummy-v1
WRN-0014,PRD-00029,2025-11-10 15:00,Warning,CURANMOR,JKS-001,Kebayoran Baru,Senayan,12:00-18:00,82,87,Acknowledged,2025-11-13T12:00+07:00,2025-11-13T18:00+07:00,dummy-v1
WRN-0015,PRD-00031,2025-12-26 15:00,Warning,CURANMOR,JKS-024,Mampang Prapatan,Mampang Prapatan,12:00-18:00,83,71,Active,2025-12-26T12:00+07:00,2025-12-26T18:00+07:00,dummy-v1
WRN-0016,PRD-00033,2025-11-03 15:00,Critical,CURANMOR,JKS-023,Tebet,Manggarai,18:00-23:59,95,86,Resolved,2025-11-04T18:00+07:00,2025-11-05T00:00+07:00,dummy-v1
WRN-0017,PRD-00035,2025-10-24 15:00,Critical,CURAT,JKS-015,Pasar Minggu,Ragunan,12:00-18:00,95,84,Acknowledged,2025-10-31T12:00+07:00,2025-10-31T18:00+07:00,dummy-v1
WRN-0018,PRD-00037,2025-10-23 15:00,Warning,CURANMOR,JKS-021,Tebet,Tebet Timur,12:00-18:00,71,62,Resolved,2025-10-23T12:00+07:00,2025-10-23T18:00+07:00,dummy-v1
WRN-0019,PRD-00043,2025-10-25 15:00,Critical,CURANMOR,JKS-018,Pancoran,Duren Tiga,18:00-23:59,88,97,Resolved,2025-10-26T18:00+07:00,2025-10-27T00:00+07:00,dummy-v1
WRN-0020,PRD-00046,2025-10-22 15:00,Warning,CURAT,JKS-017,Pancoran,Pancoran,00:00-06:00,82,91,Active,2025-10-22T00:00+07:00,2025-10-22T06:00+07:00,dummy-v1
WRN-0021,PRD-00047,2025-12-07 15:00,Critical,CURAS,JKS-010,Cilandak,Gandaria Selatan,12:00-18:00,91,94,Active,2025-12-07T12:00+07:00,2025-12-07T18:00+07:00,dummy-v1
WRN-0022,PRD-00048,2025-10-29 15:00,Warning,CURAS,JKS-027,Setiabudi,Karet Kuningan,18:00-23:59,84,87,Active,2025-10-30T18:00+07:00,2025-10-31T00:00+07:00,dummy-v1
WRN-0023,PRD-00049,2025-11-26 15:00,Critical,CURANMOR,JKS-029,Setiabudi,Menteng Atas,18:00-23:59,89,91,Active,2025-11-29T18:00+07:00,2025-11-30T00:00+07:00,dummy-v1
WRN-0024,PRD-00051,2025-10-30 15:00,Critical,CURAT,JKS-006,Kebayoran Lama,Pondok Pinang,06:00-12:00,91,83,Active,2025-10-30T06:00+07:00,2025-10-30T12:00+07:00,dummy-v1
WRN-0025,PRD-00059,2025-12-08 15:00,Warning,CURAT,JKS-007,Kebayoran Lama,Kebayoran Lama Utara,12:00-18:00,74,68,Active,2025-12-11T12:00+07:00,2025-12-11T18:00+07:00,dummy-v1
WRN-0026,PRD-00060,2025-11-20 15:00,Warning,CURAS,JKS-029,Setiabudi,Menteng Atas,18:00-23:59,73,63,Active,2025-11-27T18:00+07:00,2025-11-28T00:00+07:00,dummy-v1
