intelligence_id,report_date,category,kecamatan,kelurahan,grid_id,reliability,confidence,urgency,impact,status
INT-0001,2025-05-23,Potensi Tawuran,Pasar Minggu,Pejaten Barat,JKS-013,A,78,72,Kritis,Diverifikasi
INT-0002,2025-01-27,Gangguan Kamtibmas,Kebayoran Lama,Grogol Utara,JKS-008,C,85,82,Tinggi,Selesai
INT-0003,2025-05-04,Kegiatan Masyarakat,Jagakarsa,Lenteng Agung,JKS-032,A,95,55,Tinggi,Selesai
INT-0004,2025-04-01,Gangguan Kamtibmas,Kebayoran Baru,Pulo,JKS-005,C,82,51,Sedang,Baru
INT-0005,2025-08-26,Kegiatan Masyarakat,Kebayoran Lama,Pondok Pinang,JKS-006,A,86,63,Tinggi,Diverifikasi
INT-0006,2025-04-17,Kegiatan Masyarakat,Mampang Prapatan,Mampang Prapatan,JKS-024,B,71,57,Kritis,Ditindaklanjuti
INT-0007,2025-07-15,Potensi Tawuran,Pasar Minggu,Pejaten Barat,JKS-013,A,86,51,Kritis,Diverifikasi
INT-0008,2025-03-30,Kerawanan Lokasi,Kebayoran Baru,Senayan,JKS-001,A,66,42,Rendah,Ditindaklanjuti
INT-0009,2025-04-27,Potensi Tawuran,Kebayoran Baru,Kramat Pela,JKS-003,A,58,70,Sedang,Selesai
INT-0010,2025-09-23,Kegiatan Masyarakat,Cilandak,Cilandak Barat,JKS-012,A,82,47,Rendah,Diverifikasi
INT-0011,2025-09-09,Kegiatan Masyarakat,Tebet,Tebet Barat,JKS-020,A,62,50,Kritis,Selesai
INT-0012,2025-08-29,Potensi Tawuran,Tebet,Menteng Dalam,JKS-022,B,79,31,Rendah,Diverifikasi
INT-0013,2025-12-06,Gangguan Kamtibmas,Kebayoran Lama,Grogol Utara,JKS-008,B,57,89,Sedang,Ditindaklanjuti
INT-0014,2025-12-15,Gangguan Kamtibmas,Cilandak,Cipete Selatan,JKS-009,B,66,65,Kritis,Selesai
INT-0015,2025-10-19,Potensi Tawuran,Mampang Prapatan,Bangka,JKS-025,A,88,31,Rendah,Diverifikasi
INT-0016,2025-09-12,Kerawanan Lokasi,Cilandak,Lebak Bulus,JKS-011,B,64,84,Sedang,Selesai
INT-0017,2025-02-14,Kerawanan Lokasi,Kebayoran Lama,Grogol Utara,JKS-008,C,93,50,Rendah,Selesai
INT-0018,2025-09-17,Kerawanan Lokasi,Pancoran,Pancoran,JKS-017,A,64,45,Sedang,Selesai
INT-0019,2025-08-09,Potensi Tawuran,Pasar Minggu,Jati Padang,JKS-016,B,59,51,Tinggi,Ditindaklanjuti
INT-0020,2025-07-04,Kerawanan Lokasi,Kebayoran Baru,Kramat Pela,JKS-003,B,79,90,Kritis,Diverifikasi
INT-0021,2025-12-05,Gangguan Kamtibmas,Jagakarsa,Lenteng Agung,JKS-032,A,77,69,Sedang,Baru
INT-0022,2025-04-04,Kerawanan Lokasi,Kebayoran Baru,Pulo,JKS-005,A,85,64,Tinggi,Selesai
INT-0023,2025-10-21,Kegiatan Masyarakat,Pasar Minggu,Pejaten Barat,JKS-013,A,86,56,Rendah,Ditindaklanjuti
INT-0024,2025-12-24,Kegiatan Masyarakat,Cilandak,Cipete Selatan,JKS-009,A,91,56,Sedang,Baru
INT-0025,2025-11-10,Kerawanan Lokasi,Cilandak,Gandaria Selatan,JKS-010,A,60,81,Sedang,Baru
INT-0026,2025-12-30,Kerawanan Lokasi,Kebayoran Lama,Grogol Utara,JKS-008,A,71,67,Tinggi,Diverifikasi
INT-0027,2025-01-30,Gangguan Kamtibmas,Tebet,Tebet Timur,JKS-021,A,61,39,Tinggi,Diverifikasi
INT-0028,2025-04-14,Kerawanan Lokasi,Pasar Minggu,Jati Padang,JKS-016,B,87,71,Sedang,Ditindaklanjuti
INT-0029,2025-07-24,Gangguan Kamtibmas,Mampang Prapatan,Mampang Prapatan,JKS-024,A,71,44,Sedang,Selesai
INT-0030,2025-08-23,Gangguan Kamtibmas,Kebayoran Lama,Grogol Utara,JKS-008,A,62,84,Sedang,Baru
INT-0031,2025-10-27,Kegiatan Masyarakat,Jagakarsa,Ciganjur,JKS-031,B,55,39,Sedang,Ditindaklanjuti
INT-0032,2025-10-05,Kegiatan Masyarakat,Mampang Prapatan,Mampang Prapatan,JKS-024,A,70,57,Kritis,Ditindaklanjuti
INT-0033,2025-05-06,Kerawanan Lokasi,Pancoran,Kalibata,JKS-019,A,88,61,Tinggi,Selesai
INT-0034,2025-04-08,Kerawanan Lokasi,Pasar Minggu,Pejaten Barat,JKS-013,C,71,92,Sedang,Diverifikasi
INT-0035,2025-12-07,Gangguan Kamtibmas,Jagakarsa,Jagakarsa,JKS-030,A,64,89,Tinggi,Baru
INT-0036,2025-01-03,Gangguan Kamtibmas,Pancoran,Duren Tiga,JKS-018,C,76,63,Sedang,Baru
INT-0037,2025-07-03,Kerawanan Lokasi,Kebayoran Baru,Pulo,JKS-005,B,62,70,Sedang,Diverifikasi
