patrol_id,unit_id,patrol_date,start_time,end_time,grid_id,kecamatan,activity_type,result
PAT-0001,UNIT-001,2025-05-29,20:00,22:00,JKS-031,Jagakarsa,Pengaturan,Normal
PAT-0002,UNIT-004,2025-01-13,20:00,22:00,JKS-011,Cilandak,Patroli Preventif,Temuan Kerawanan
PAT-0003,UNIT-006,2025-07-23,18:00,20:00,JKS-030,Jagakarsa,Dialogis,Tidak Ada Kejadian
PAT-0004,UNIT-006,2025-01-01,06:00,08:00,JKS-019,Pancoran,Monitoring,Tindak Lanjut
PAT-0005,UNIT-001,2025-11-08,06:00,08:00,JKS-010,Cilandak,Pengaturan,Tidak Ada Kejadian
PAT-0006,UNIT-003,2025-04-05,18:00,20:00,JKS-028,Setiabudi,Monitoring,Tidak Ada Kejadian
PAT-0007,UNIT-002,2025-09-30,14:00,16:00,JKS-013,Pasar Minggu,Pengaturan,Tindak Lanjut
PAT-0008,UNIT-006,2025-01-02,18:00,20:00,JKS-026,Mampang Prapatan,Pengaturan,Tidak Ada Kejadian
PAT-0009,UNIT-001,2025-08-08,20:00,22:00,JKS-010,Cilandak,Dialogis,Normal
PAT-0010,UNIT-001,2025-12-07,18:00,20:00,JKS-018,Pancoran,Dialogis,Tidak Ada Kejadian
PAT-0011,UNIT-004,2025-07-18,20:00,22:00,JKS-011,Cilandak,Pengaturan,Tidak Ada Kejadian
PAT-0012,UNIT-005,2025-05-26,20:00,22:00,JKS-013,Pasar Minggu,Patroli Preventif,Normal
PAT-0013,UNIT-002,2025-01-16,06:00,08:00,JKS-019,Pancoran,Dialogis,Normal
PAT-0014,UNIT-004,2025-09-20,18:00,20:00,JKS-019,Pancoran,Dialogis,Tindak Lanjut
PAT-0015,UNIT-006,2025-08-31,18:00,20:00,JKS-033,Jagakarsa,Monitoring,Temuan Kerawanan
PAT-0016,UNIT-002,2025-05-19,20:00,22:00,JKS-032,Jagakarsa,Patroli Preventif,Tindak Lanjut
PAT-0017,UNIT-006,2025-05-13,18:00,20:00,JKS-002,Kebayoran Baru,Monitoring,Temuan Kerawanan
PAT-0018,UNIT-006,2025-10-13,10:00,12:00,JKS-016,Pasar Minggu,Patroli Preventif,Normal
PAT-0019,UNIT-005,2025-06-28,10:00,12:00,JKS-020,Tebet,Pengaturan,Temuan Kerawanan
PAT-0020,UNIT-004,2025-04-04,06:00,08:00,JKS-030,Jagakarsa,Monitoring,Normal
PAT-0021,UNIT-004,2025-08-16,14:00,16:00,JKS-018,Pancoran,Patroli Preventif,Temuan Kerawanan
PAT-0022,UNIT-005,2025-06-28,06:00,08:00,JKS-011,Cilandak,Pengaturan,Temuan Kerawanan
