risk_score_id,assessment_date,grid_id,kecamatan,kelurahan,threat_type,time_window,risk_score,risk_class,historical_factor,recent_trend_factor,temporal_factor,spatial_factor,context_factor,model_version,window_start,window_end,weights_version
RS-00001,2025-10-01,JKS-001,Kebayoran Baru,Senayan,CURANMOR,00:00-06:00,27,Low,15,28,36,35,30,dummy-v1,2025-10-01T00:00+07:00,2025-10-01T06:00+07:00,dummy-v1
RS-00002,2025-10-01,JKS-001,Kebayoran Baru,Senayan,CURAT,06:00-12:00,47,Moderate,48,39,51,62,33,dummy-v1,2025-10-01T06:00+07:00,2025-10-01T12:00+07:00,dummy-v1
RS-00003,2025-10-01,JKS-001,Kebayoran Baru,Senayan,CURAS,12:00-18:00,40,Low,41,29,47,42,47,dummy-v1,2025-10-01T12:00+07:00,2025-10-01T18:00+07:00,dummy-v1
RS-00004,2025-10-01,JKS-001,Kebayoran Baru,Senayan,CURANMOR,18:00-23:59,35,Low,15,50,45,36,35,dummy-v1,2025-10-01T18:00+07:00,2025-10-02T00:00+07:00,dummy-v1
RS-00005,2025-10-08,JKS-001,Kebayoran Baru,Senayan,CURAT,00:00-06:00,58,Moderate,50,62,59,59,70,dummy-v1,2025-10-08T00:00+07:00,2025-10-08T06:00+07:00,dummy-v1
RS-00006,2025-10-08,JKS-001,Kebayoran Baru,Senayan,CURAS,06:00-12:00,72,High,87,60,72,58,78,dummy-v1,2025-10-08T06:00+07:00,2025-10-08T12:00+07:00,dummy-v1
RS-00007,2025-10-08,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,33,Low,32,41,38,22,22,dummy-v1,2025-10-08T12:00+07:00,2025-10-08T18:00+07:00,dummy-v1
RS-00008,2025-10-08,JKS-001,Kebayoran Baru,Senayan,CURAS,18:00-23:59,42,Low,50,31,51,35,39,dummy-v1,2025-10-08T18:00+07:00,2025-10-09T00:00+07:00,dummy-v1
RS-00009,2025-10-15,JKS-001,Kebayoran Baru,Senayan,CURAS,00:00-06:00,72,High,80,60,69,73,84,dummy-v1,2025-10-15T00:00+07:00,2025-10-15T06:00+07:00,dummy-v1
RS-00010,2025-10-15,JKS-001,Kebayoran Baru,Senayan,CURAS,06:00-12:00,70,High,71,71,61,68,85,dummy-v1,2025-10-15T06:00+07:00,2025-10-15T12:00+07:00,dummy-v1
RS-00011,2025-10-15,JKS-001,Kebayoran Baru,Senayan,CURAS,12:00-18:00,46,Moderate,45,50,52,34,44,dummy-v1,2025-10-15T12:00+07:00,2025-10-15T18:00+07:00,dummy-v1
RS-00012,2025-10-15,JKS-001,Kebayoran Baru,Senayan,CURANMOR,18:00-23:59,58,Moderate,60,60,61,44,63,dummy-v1,2025-10-15T18:00+07:00,2025-10-16T00:00+07:00,dummy-v1
RS-00013,2025-10-22,JKS-001,Kebayoran Baru,Senayan,CURAT,00:00-06:00,29,Low,24,26,37,37,23,dummy-v1,2025-10-22T00:00+07:00,2025-10-22T06:00+07:00,dummy-v1
RS-00014,2025-10-22,JKS-001,Kebayoran Baru,Senayan,CURAT,06:00-12:00,33,Low,33,33,47,25,18,dummy-v1,2025-10-22T06:00+07:00,2025-10-22T12:00+07:00,dummy-v1
RS-00015,2025-10-22,JKS-001,Kebayoran Baru,Senayan,CURAS,12:00-18:00,62,Moderate,68,53,68,51,72,dummy-v1,2025-10-22T12:00+07:00,2025-10-22T18:00+07:00,dummy-v1
RS-00016,2025-10-22,JKS-001,Kebayoran Baru,Senayan,CURAS,18:00-23:59,48,Moderate,51,46,49,44,47,dummy-v1,2025-10-22T18:00+07:00,2025-10-23T00:00+07:00,dummy-v1
RS-00017,2025-10-29,JKS-001,Kebayoran Baru,Senayan,CURAS,00:00-06:00,63,Moderate,65,76,48,48,77,dummy-v1,2025-10-29T00:00+07:00,2025-10-29T06:00+07:00,dummy-v1
